class,metric,value,city
Bare,pland,5.271,Santiago
Snow and ice,pland,0.002,Santiago
Water,ed,4.61,BuenosAires
Trees,ed,33.565,BuenosAires
Grass,ed,43.168,BuenosAires
Flooded vegetation,ed,37.172,BuenosAires
Crops,ed,34.086,BuenosAires
Shrub and scrub,ed,27.662,BuenosAires
Built,ed,18.583,BuenosAires
Bare,ed,0.5,BuenosAires
Snow and ice,ed,0.006,BuenosAires
Water,pland,1.76,BuenosAires
Trees,pland,18.091,BuenosAires
Grass,pland,16.779,BuenosAires
Flooded vegetation,pland,1.181,BuenosAires
Crops,pland,12.591,BuenosAires
Shrub and scrub,pland,1.716,BuenosAires
Built,pland,47.776,BuenosAires
Bare,pland,0.105,BuenosAires
Snow and ice,pland,0.001,BuenosAires
Water,ed,6.339,Boston
Trees,ed,56.01,Boston
Grass,ed,41.822,Boston
Flooded vegetation,ed,36.039,Boston
Crops,ed,38.557,Boston
Shrub and scrub,ed,53.556,Boston
Built,ed,47.13,Boston
Bare,ed,0.759,Boston
Snow and ice,ed,0.046,Boston
Water,pland,3.812,Boston
Trees,pland,50.947,Boston
Grass,pland,2.394,Boston
Flooded vegetation,pland,1.1,Boston
Crops,pland,1.293,Boston
Shrub and scrub,pland,1.967,Boston
Built,pland,38.336,Boston
Bare,pland,0.145,Boston
Snow and ice,pland,0.005,Boston
Water,ed,9.204,Calgary
Trees,ed,20.042,Calgary
Grass,ed,38.361,Calgary
Flooded vegetation,ed,32.921,Calgary
Crops,ed,39.041,Calgary
Shrub and scrub,ed,45.206,Calgary
Built,ed,54.786,Calgary
Bare,ed,44.77,Calgary
Snow and ice,ed,26.297,Calgary
Water,pland,3.309,Calgary
Trees,pland,5.245,Calgary
Grass,pland,9.298,Calgary
Flooded vegetation,pland,0.791,Calgary
Crops,pland,6.906,Calgary
Shrub and scrub,pland,2.94,Calgary
Built,pland,62.713,Calgary
Bare,pland,5.559,Calgary
Snow and ice,pland,3.239,Calgary
Water,ed,8.884,Chicago
Trees,ed,39.995,Chicago
Grass,ed,34.978,Chicago
Flooded vegetation,ed,28.717,Chicago
Crops,ed,31.321,Chicago
Shrub and scrub,ed,33.699,Chicago
Built,ed,38.301,Chicago
Bare,ed,3.535,Chicago
Snow and ice,ed,0.057,Chicago
Water,pland,3.078,Chicago
Trees,pland,18.644,Chicago
Grass,pland,4.045,Chicago
Flooded vegetation,pland,0.945,Chicago
Crops,pland,5.439,Chicago
Shrub and scrub,pland,1.301,Chicago
Built,pland,65.355,Chicago
Bare,pland,1.187,Chicago
Snow and ice,pland,0.005,Chicago
Water,ed,6.218,Columbus
Trees,ed,36.317,Columbus
Grass,ed,35.532,Columbus
Flooded vegetation,ed,30.374,Columbus
Crops,ed,33.844,Columbus
Shrub and scrub,ed,37.663,Columbus
Built,ed,40.454,Columbus
Bare,ed,2.423,Columbus
Snow and ice,ed,0.038,Columbus
Water,pland,1.739,Columbus
Trees,pland,14.906,Columbus
Grass,pland,4.792,Columbus
Flooded vegetation,pland,0.892,Columbus
Crops,pland,5.676,Columbus
Shrub and scrub,pland,1.248,Columbus
Built,pland,69.998,Columbus
Bare,pland,0.747,Columbus
Snow and ice,pland,0.002,Columbus
Water,ed,5.013,Dallas
Trees,ed,25.824,Dallas
Grass,ed,32.908,Dallas
Flooded vegetation,ed,26.92,Dallas
Crops,ed,29.226,Dallas
Shrub and scrub,ed,35.415,Dallas
Built,ed,37.267,Dallas
Bare,ed,8.386,Dallas
Snow and ice,ed,0.021,Dallas
Water,pland,2.66,Dallas
Trees,pland,10.638,Dallas
Grass,pland,7.384,Dallas
Flooded vegetation,pland,0.851,Dallas
Crops,pland,2.187,Dallas
Shrub and scrub,pland,2.398,Dallas
Built,pland,71.501,Dallas
Bare,pland,2.379,Dallas
Snow and ice,pland,0.002,Dallas
Water,ed,4.005,Denver
Trees,ed,9.597,Denver
Grass,ed,14.472,Denver
Flooded vegetation,ed,14.187,Denver
Crops,ed,30.162,Denver
Shrub and scrub,ed,37.534,Denver
Built,ed,28.126,Denver
Bare,ed,5.652,Denver
Snow and ice,ed,0.022,Denver
Water,pland,2.463,Denver
Trees,pland,1.728,Denver
Grass,pland,2.058,Denver
Flooded vegetation,pland,0.429,Denver
Crops,pland,9.27,Denver
Shrub and scrub,pland,4.886,Denver
Built,pland,77.778,Denver
Bare,pland,1.382,Denver
Snow and ice,pland,0.006,Denver
Water,ed,7.232,Houston
Trees,ed,32.76,Houston
Grass,ed,36.651,Houston
Flooded vegetation,ed,28.078,Houston
Crops,ed,29.465,Houston
Shrub and scrub,ed,36.194,Houston
Built,ed,40.294,Houston
Bare,ed,5.744,Houston
Snow and ice,ed,0.056,Houston
Water,pland,2.831,Houston
Trees,pland,15.432,Houston
Grass,pland,7.445,Houston
Flooded vegetation,pland,0.899,Houston
Crops,pland,1.411,Houston
Shrub and scrub,pland,1.689,Houston
Built,pland,68.874,Houston
Bare,pland,1.412,Houston
Snow and ice,pland,0.006,Houston
Water,ed,8.451,Indianapolis
Trees,ed,36.529,Indianapolis
Grass,ed,35.912,Indianapolis
Flooded vegetation,ed,30.586,Indianapolis
Crops,ed,36.116,Indianapolis
Shrub and scrub,ed,40.466,Indianapolis
Built,ed,44.008,Indianapolis
Bare,ed,2.296,Indianapolis
Snow and ice,ed,0.051,Indianapolis
Water,pland,2.585,Indianapolis
Trees,pland,13.751,Indianapolis
Grass,pland,4.922,Indianapolis
Flooded vegetation,pland,0.892,Indianapolis
Crops,pland,8.06,Indianapolis
Shrub and scrub,pland,1.336,Indianapolis
Built,pland,67.81,Indianapolis
Bare,pland,0.64,Indianapolis
Snow and ice,pland,0.005,Indianapolis
Water,ed,11.349,Jacksonville
Trees,ed,49.439,Jacksonville
Grass,ed,37.017,Jacksonville
Flooded vegetation,ed,31.467,Jacksonville
Crops,ed,32.588,Jacksonville
Shrub and scrub,ed,43.644,Jacksonville
Built,ed,46.098,Jacksonville
Bare,ed,2.424,Jacksonville
Snow and ice,ed,0.221,Jacksonville
Water,pland,12.001,Jacksonville
Trees,pland,33.193,Jacksonville
Grass,pland,3.071,Jacksonville
Flooded vegetation,pland,1.269,Jacksonville
Crops,pland,1.01,Jacksonville
Shrub and scrub,pland,2.029,Jacksonville
Built,pland,46.923,Jacksonville
Bare,pland,0.482,Jacksonville
Snow and ice,pland,0.022,Jacksonville
Water,ed,2.126,LosAngeles
Trees,ed,10.579,LosAngeles
Grass,ed,11.802,LosAngeles
Flooded vegetation,ed,11.143,LosAngeles
Crops,ed,15.834,LosAngeles
Shrub and scrub,ed,21.049,LosAngeles
Built,ed,16.581,LosAngeles
Bare,ed,4.235,LosAngeles
Snow and ice,ed,0.076,LosAngeles
Water,pland,1.018,LosAngeles
Trees,pland,3.239,LosAngeles
Grass,pland,1.351,LosAngeles
Flooded vegetation,pland,0.389,LosAngeles
Crops,pland,1.866,LosAngeles
Shrub and scrub,pland,4.276,LosAngeles
Built,pland,86.321,LosAngeles
Bare,pland,1.529,LosAngeles
Snow and ice,pland,0.011,LosAngeles
Water,ed,16.595,Miami
Trees,ed,27.028,Miami
Grass,ed,27.17,Miami
Flooded vegetation,ed,22.179,Miami
Crops,ed,23.534,Miami
Shrub and scrub,ed,33.062,Miami
Built,ed,35.247,Miami
Bare,ed,2.624,Miami
Snow and ice,ed,0.247,Miami
Water,pland,7.658,Miami
Trees,pland,6.584,Miami
Grass,pland,3.806,Miami
Flooded vegetation,pland,0.932,Miami
Crops,pland,1.433,Miami
Shrub and scrub,pland,1.862,Miami
Built,pland,77.11,Miami
Bare,pland,0.59,Miami
Snow and ice,pland,0.025,Miami
Water,ed,6.322,Montreal
Trees,ed,20.403,Montreal
Grass,ed,19.293,Montreal
Flooded vegetation,ed,15.848,Montreal
Crops,ed,17.025,Montreal
Shrub and scrub,ed,21.49,Montreal
Built,ed,23.885,Montreal
Bare,ed,3.188,Montreal
Snow and ice,ed,0.939,Montreal
Water,pland,1.131,Montreal
Trees,pland,11.269,Montreal
Grass,pland,2.541,Montreal
Flooded vegetation,pland,0.432,Montreal
Crops,pland,1.391,Montreal
Shrub and scrub,pland,0.654,Montreal
Built,pland,81.955,Montreal
Bare,pland,0.554,Montreal
Snow and ice,pland,0.073,Montreal
Water,ed,6.396,NewYork
Trees,ed,42.667,NewYork
Grass,ed,32.851,NewYork
Flooded vegetation,ed,29.023,NewYork
Crops,ed,29.832,NewYork
Shrub and scrub,ed,40.198,NewYork
Built,ed,39.501,NewYork
Bare,ed,1.329,NewYork
Snow and ice,ed,0.073,NewYork
Water,pland,6.109,NewYork
Trees,pland,30.382,NewYork
Grass,pland,2.257,NewYork
Flooded vegetation,pland,0.892,NewYork
Crops,pland,1.506,NewYork
Shrub and scrub,pland,1.324,NewYork
Built,pland,57.137,NewYork
Bare,pland,0.377,NewYork
Snow and ice,pland,0.016,NewYork
Water,ed,3.399,Ottawa
Trees,ed,36.712,Ottawa
Grass,ed,38.136,Ottawa
