term,Mean,SD,2.5%,50%,97.5%,Rhat,ESS,species_city
phi,0.6227680181410324,0.19331658996958875,0.25380841403585264,0.6336903652612772,0.9242040110475503,1.0131533202064738,203.62446602396028,American_Kestrel_Indianapolis
sigma.sq.t,0.24697841694975745,0.1894900494875519,0.07426895646260918,0.19476821959330504,0.7410066312460609,1.0140259923107742,1351.246952982766,American_Kestrel_Indianapolis
rho,0.07563012686964875,0.4182289756780417,-0.7334223973062299,0.09619919652019689,0.7947524813692665,1.0125707734358915,1937.8069524814016,American_Kestrel_Indianapolis
sigma.sq,4.947069319375905,1.4732442801196155,2.6034716531234325,4.740502478754919,8.382560924804848,1.0056100643414314,521.6146388391552,American_Kestrel_Jacksonville
phi,0.7110452336414512,0.1717475471096285,0.3513367581741969,0.7316781085311936,0.9606332304049644,1.027668968734343,565.8186109913566,American_Kestrel_Jacksonville
sigma.sq.t,0.26599263388789823,0.2010009858127156,0.07778163388480715,0.2109122360237712,0.7830655961242149,1.0023191211611384,2244.5501449288777,American_Kestrel_Jacksonville
rho,0.13932674949927967,0.38513715835734214,-0.6464412652735175,0.16835609038612936,0.7897717982924498,1.0000645851574517,2836.624263904697,American_Kestrel_Jacksonville
sigma.sq,2.901381859414961,1.6607936084617598,0.7041535857216139,2.5548094310575413,7.236086243393738,1.0467047256642743,361.4972822463035,American_Kestrel_Lima
phi,0.5278813903459404,0.22574281008801217,0.11755986683754666,0.526849775542907,0.8952247386615864,1.0055017495216096,345.3599948184191,American_Kestrel_Lima
sigma.sq.t,0.2597468096541514,0.21278325319010513,0.0795858706271712,0.20545791178058628,0.7792991949535812,1.0176772079310152,4375.994516750494,American_Kestrel_Lima
rho,0.07310652197032468,0.3976845713172569,-0.7016475458703718,0.09183071810835693,0.7707273831840926,1.002679138582575,4576.117651828427,American_Kestrel_Lima
sigma.sq,5.286771030030951,1.8514442399989408,2.350316493573886,5.017065010764897,9.391827204610829,1.0708369330401102,258.93252357667285,American_Kestrel_LosAngeles
phi,0.7556256848903179,0.12729790183231046,0.46282108048842147,0.7800056625683581,0.9173931062258348,1.0570704730934353,480.97983927368966,American_Kestrel_LosAngeles
sigma.sq.t,0.26780231216356665,0.220487909211873,0.07794281016451898,0.2091395702453554,0.8311288193123632,1.0028229104784996,3968.94585276542,American_Kestrel_LosAngeles
rho,0.12231413891562774,0.38453197720849,-0.6435346380720779,0.14806429974568808,0.7907608986703895,1.0015677315137566,5112.504463371558,American_Kestrel_LosAngeles
sigma.sq,5.524178024138134,1.998858305669596,2.0556305305439926,5.349989847620047,9.470071154913258,1.0391846630392294,310.7606403753668,American_Kestrel_Miami
phi,0.7022793387768456,0.17590808031145075,0.34947519499089824,0.7206385194680539,0.9587359400124228,1.0069067328187118,603.8538389457146,American_Kestrel_Miami
sigma.sq.t,0.2420027190924744,0.18820335983952893,0.07275824354154214,0.1928900679448751,0.700266909983873,1.0019865293734478,4365.037965486948,American_Kestrel_Miami
rho,0.10499296025852509,0.4014893108943757,-0.679057947425496,0.12716286744536537,0.7993827402470446,1.000234329466677,6140.769093813349,American_Kestrel_Miami
sigma.sq,1.1386177129274713,0.6780293402838939,0.20931299929923816,1.0031793180292592,2.8155005031682427,1.003146633173602,607.2591019723955,American_Kestrel_Montreal
phi,0.613666194314226,0.23389176400319356,0.1298587783896102,0.6491314507072823,0.9339776129247864,1.001749183465803,366.65510205352655,American_Kestrel_Montreal
sigma.sq.t,0.29687343122601106,0.239508481453981,0.08364784061376519,0.2327648823607114,0.8937488381435321,1.0000610766838678,4158.7390190925535,American_Kestrel_Montreal
rho,0.05479414189319599,0.3827392205629826,-0.6779156106598628,0.06637054820790683,0.7388135247736333,1.0034434927494118,3659.0445880402353,American_Kestrel_Montreal
sigma.sq,4.946661880768719,1.5246254720056909,2.6342247820107407,4.757711765620938,8.65533906499715,1.0611519105924812,139.43641490311458,American_Kestrel_NewYork
phi,0.6333129948215503,0.1873261988813737,0.2878016184389141,0.6377453171928202,0.9407245590782328,1.0786153909279468,133.51688575381934,American_Kestrel_NewYork
sigma.sq.t,0.3130816003230525,0.317001609241683,0.08348331968581088,0.23073416298337543,1.0701565958800718,1.02569024422481,433.2258358923379,American_Kestrel_NewYork
rho,0.03826755184251946,0.3974189363787805,-0.7125648815347377,0.042999099382381,0.7520589111406223,1.00539840520982,1857.4948660897687,American_Kestrel_NewYork
sigma.sq,1.6195109751248788,0.6045180644826196,0.6718650863193137,1.536388063671135,3.048654261790264,1.0173505021043645,392.7103417868614,American_Kestrel_Ottawa
phi,0.7293421379704216,0.1622337658158687,0.370460811514758,0.7537552844799802,0.954876213351621,1.0213387212343743,326.27098481502657,American_Kestrel_Ottawa
sigma.sq.t,0.27762125250534553,0.20779893907005265,0.08242410111818342,0.22067562114425351,0.8129016299680215,1.002741776555984,2544.172875443597,American_Kestrel_Ottawa
rho,-0.10586059809991988,0.3855824474344415,-0.7790138257880868,-0.12262229467718631,0.6523694357083918,1.0021481710151223,2548.8827723419495,American_Kestrel_Ottawa
sigma.sq,4.90583820652401,2.076209909129904,1.3875923764288731,4.695699936701357,9.243483492266984,1.008903888955026,132.61108352835194,American_Kestrel_Philadelphia
phi,0.607516425659656,0.20191912914472737,0.23458318291382557,0.6086501114222569,0.9434954122576226,1.0296038384404569,191.6244341488116,American_Kestrel_Philadelphia
sigma.sq.t,0.33890861964114943,0.30461811081490114,0.08437266494333247,0.25207073926650686,1.1310396467860313,1.0085979908764788,2884.0172968577026,American_Kestrel_Philadelphia
