predictor,importance,Total,importance_stnd,species,LC_type,LC_category
pland_LCCS1_c11_evergreen_needleleaf,0.00242874458874458,211.9235997038351,0.00114604725105593,Dickinsons Kestrel,Dense,Forest
pland_LCCS2_c35_natural_herbaceous_cropland_mosaic,1.8115942028985895e-4,211.9235997038351,8.548336312851929e-5,Dickinsons Kestrel,Open,Mixed
pland_LCCS1_c02_permanent_snow_ice,0,211.9235997038351,0,Dickinsons Kestrel,Open,Snow & Ice
pland_LCCS1_c13_deciduous_needleleaf,0,211.9235997038351,0,Dickinsons Kestrel,Dense,Forest
pland_LCCS1_c15_mixed_broadleaf_needleleaf,0,211.9235997038351,0,Dickinsons Kestrel,Dense,Forest
pland_LCCS3_c51_tundra,0,211.9235997038351,0,Dickinsons Kestrel,Open,Tundra
ALAN_mean,12796.67378617808,256443.21848395368,4.990061293813781,Eurasian Kestrel,Dense,ALAN
pland_LCCS1_c22_sparse_forest,5956.033309477443,256443.21848395368,2.322554421477177,Eurasian Kestrel,Dense,Forest
pland_LCCS1_c31_dense_herbaceous,5937.218582796768,256443.21848395368,2.3152176212327,Eurasian Kestrel,Open,Herbaceous Plant Cover
pland_LCCS2_c36_herbaceous_cropland,4718.793825971911,256443.21848395368,1.8400930443271513,Eurasian Kestrel,Open,Cropland
pland_LCCS1_c21_open_forest,3985.1891578883105,256443.21848395368,1.554023998547528,Eurasian Kestrel,Dense,Forest
pland_ASTWBD_c01_ocean,3205.848068191267,256443.21848395368,1.2501200410537918,Eurasian Kestrel,Open,Water Body
pland_LCCS1_c12_evergreen_broadleaf,3196.0777314866255,256443.21848395368,1.2463100995149194,Eurasian Kestrel,Dense,Forest
pland_ASTWBD_c03_lake,2921.6790561377643,256443.21848395368,1.139308371424367,Eurasian Kestrel,Open,Water Body
pland_LCCS2_c25_forest_cropland_mosaic,2647.066194037657,256443.21848395368,1.0322231212377686,Eurasian Kestrel,Dense,Mixed
